Rank	NCT Number	Title	Acronym	Status	Study Results	Conditions	Interventions	Outcome Measures	Sponsor/Collaborators	Gender	Age	Phases	Enrollment	Funded Bys	Study Type	Study Designs	Other IDs	Start Date	Primary Completion Date	Completion Date	First Posted	Results First Posted	Last Update Posted	Locations	Study Documents	URL
1	NCT05600257	The Effect of Digital Breast Tomosynthesis in Breast Cancer Long-term Survival: a Single Institution Study		Completed	No Results Available	Breast Cancer	Device: DBT|Device: DM	Overall survival rate	Kaohsiung Veterans General Hospital.	Female	23 Years to 89 Years   (Adult, Older Adult)		1517	Other	Observational	Observational Model: Cohort|Time Perspective: Retrospective	KSVGH22-CT11-01	September 1, 2011	August 31, 2021	August 31, 2021	October 31, 2022		November 4, 2022	Kaohsiung Veterans General Hospital, Kaohsiung, Taiwan		https://ClinicalTrials.gov/show/NCT05600257
2	NCT03254875	Rehabilitation After Breast Cancer	REBECCA II	Completed	No Results Available	Breast Cancer	Behavioral: Individually tailored nurse navigation	Distress|Depression|Anxiety|Health related quality of life summary index|Breast cancer related quality of life summary index|Functional related quality of life summary index|Physical health related quality of life|Social health related quality of life|Emotional health related quality of life|Self-efficacy|Fear of recurrence|Pain in the breast surgery area (side of chest, armpit or arm)|Neuropathy in the breast surgery area (side of chest, armpit or arm)|Sleep quality|Cognitive function - Perceived cognitive impairments|Cognitive function- Perceived cognitive impairments|Cognitive function - Impact of Perceived cognitive impairments on quality of life|Cognitive function - Perceived cognitive abilities|Need for support|Health care costs|Acceptability	Danish Cancer Society|Rigshospitalet, Denmark|Copenhagen University Hospital at Herlev	Female	18 Years and older   (Adult, Older Adult)	Not Applicable	309	Other	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Outcomes Assessor)|Primary Purpose: Supportive Care	REBECCA II	August 15, 2017	March 31, 2021	March 31, 2021	August 21, 2017		August 27, 2021	Rigshospitalet, Copenhagen, Denmark		https://ClinicalTrials.gov/show/NCT03254875
3	NCT03865654	Individualizing Surveillance Mammography for Older Breast Cancer Survivors		Completed	Has Results	Breast Cancer	Other: Communication Tool	Rate of Change in Intentions for Mammography in the Next Year|Rate of Satisfaction|Preferred Decision-making Role	Dana-Farber Cancer Institute|National Institutes of Health (NIH)|National Cancer Institute (NCI)	Female	75 Years and older   (Older Adult)	Not Applicable	45	Other|NIH	Interventional	Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Health Services Research	19-001|1R21CA227615-01A1	May 16, 2019	July 1, 2021	July 1, 2021	March 7, 2019	August 24, 2022	August 24, 2022	Dana-Farber Cancer Institute, Boston, Massachusetts, United States	"Study Protocol", https://clinicaltrials.gov/ProvidedDocs/54/NCT03865654/Prot_000.pdf|"Statistical Analysis Plan", https://clinicaltrials.gov/ProvidedDocs/54/NCT03865654/SAP_001.pdf	https://ClinicalTrials.gov/show/NCT03865654
4	NCT03913936	Young, Empowered & Strong (YES): The Young Women's Breast Cancer Study 2- Focus on Intervention Pilot		Completed	No Results Available	Breast Cancer	Other: YES portal	Frequency of logging into the portal.|Time spent in the portal.|Time spent responding the survey.|Frequency of information downloads.|Participant-reported utility of the portal.|Participant-reported recommendations for improving the portal.	Dana-Farber Cancer Institute|Breast Cancer Research Foundation	Female	18 Years to 44 Years   (Adult)	Not Applicable	30	Other	Interventional	Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Supportive Care	18-641	May 23, 2019	September 19, 2019	September 19, 2019	April 12, 2019		April 3, 2023	Dana Farber Cancer Institute, Boston, Massachusetts, United States		https://ClinicalTrials.gov/show/NCT03913936
5	NCT05460702	Relationship Between Breast Cancer Subtypes and Immune Checkpoints		Completed	No Results Available	Breast Cancer	Diagnostic Test: Soluble immune checkpoints	Immune checkpoints	Istanbul Training and Research Hospital	Female	18 Years to 90 Years   (Adult, Older Adult)		60	Other	Observational	Observational Model: Case-Control|Time Perspective: Prospective	Breast immune checkpoint	May 1, 2022	December 1, 2022	December 15, 2022	July 15, 2022		February 16, 2023	Istanbul Training and Research Hospital, Istanbul, Turkey|Memorial Hizmet Hospital, Istanbul, Turkey		https://ClinicalTrials.gov/show/NCT05460702
6	NCT05797129	CEDM as a Screening Tool for Breast Cancer in Higher-risk Women: A Prospective Study		Completed	No Results Available	Breast Cancer	Device: CEDM	Total number of cases received and diagnosed with breast cancer (Number)|Total number of cases received and diagnosed as positive requiring a biopsy and MRI (Number)|True positive results obtained by the diagnostic method (Number)|True negative results obtained by the diagnostic method (Number)	Kaohsiung Veterans General Hospital.	Female	20 Years to 90 Years   (Adult, Older Adult)		351	Other	Observational	Observational Model: Cohort|Time Perspective: Prospective	VGHKS18-CT11-17	January 1, 2019	December 31, 2021	December 31, 2021	April 4, 2023		April 4, 2023	Kaohsiung Veterans General Hospital, Kaohsiung, Taiwan		https://ClinicalTrials.gov/show/NCT05797129
7	NCT03375827	Feasibility of an Individualized Goals of Care Discussion Guide for Advanced Breast Cancer		Completed	No Results Available	Breast Cancer	Other: IGCDG	Recruitment rate|Attrition rate|Change in distress|Evaluate baseline preferences for care among patients with metastatic breast cancer via the Individualized Goals of Care Discussion Guide (IGCDG) questionnaire|The Satisfaction with Decision Making Scale|The Decisional Conflict Scale|Modified Control Preferences Scale|Patient Satisfaction with Cancer Care	Massachusetts General Hospital|Pfizer	All	18 Years and older   (Adult, Older Adult)	Not Applicable	45	Other|Industry	Interventional	Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Health Services Research	17-398	January 22, 2018	April 29, 2019	April 29, 2019	December 18, 2017		March 14, 2023	Massachusetts General Hospital, Boston, Massachusetts, United States		https://ClinicalTrials.gov/show/NCT03375827
8	NCT02956473	Supine MRI in Breast Cancer Patients Undergoing Upfront Surgery or Receiving Neoadjuvant Therapy		Completed	No Results Available	Breast Cancer	Device: Supine MRI|Other: Neoadjuvant Therapy (NAT)|Device: Ultrasound|Device: Mammography|Procedure: Standard of Care	Evaluate The Correlation Between Prone Breast MRI in Estimating Tumor Size at upfront surgery or post-NAT and Pathologic Results, and The Correlation Between Supine Breast MRI And Pathologic Results.|Compare The Correlation Between Supine Breast MRI for Estimation Of Tumor Size at upfront surgery or post-NAT and The Pathologic Residual Tumor Size, and The Correlation Between Existing Breast Imaging Modalities And The Pathologic Residual Tumor Size.|Characterize The Changes Occurring In Breast Tumor-Associated Properties/ Dimensions Between The Prone And Supine Imaging Position And To Determine The Correlation Of Tumor Location And Geometry On supine MRI with prone MRI|Assess The Value Of Supine MRI For Radiologists Performing Second Look US Examinations/ Biopsies Following Identification Of New Lesions on MRI, And Performing Preoperative Lesion Localization Using Supine MRI Guidance|Assess The Perceived Benefit Of Supine MRI For Surgical Planning As Measured By The Collective Results Of A Survey Of Surgeons Performing Breast-conserving Therapy (BCT) In Our Study Patient Population|Explore The Effect Of Supine MRI On Influencing Breast-conserving Surgery (BCS) Outcomes|Assess The Perceived Value Of Supine MRI For Adjuvant Radiation Breast Treatment Planning	Dana-Farber Cancer Institute	Female	18 Years and older   (Adult, Older Adult)	Not Applicable	57	Other	Interventional	Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Diagnostic	16-277	November 15, 2016	August 2022	August 2022	November 6, 2016		August 17, 2022	Brigham and Women's Hospital, Boston, Massachusetts, United States|Dana Farber Cancer Institute, Boston, Massachusetts, United States		https://ClinicalTrials.gov/show/NCT02956473
9	NCT03316586	A Phase II Study of Nivolumab in Combination With Cabozantinib for Metastatic Triple-negative Breast Cancer		Completed	Has Results	Breast Cancer	Drug: Nivolumab|Drug: Cabozantinib	Overall Response Rate|Number of Participants With Adverse Events|Clinical Benefit Rate|Progression Free Survival Rate|Overall Response Rate Per Immune Criteria	Dana-Farber Cancer Institute|Bristol-Myers Squibb|Exelixis	Female	18 Years and older   (Adult, Older Adult)	Phase 2	18	Other|Industry	Interventional	Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	17-324	November 30, 2017	August 30, 2019	August 30, 2019	October 20, 2017	December 28, 2021	December 28, 2021	Dana-Farber Cancer Institute, Boston, Massachusetts, United States	"Study Protocol and Statistical Analysis Plan", https://clinicaltrials.gov/ProvidedDocs/86/NCT03316586/Prot_SAP_000.pdf	https://ClinicalTrials.gov/show/NCT03316586
10	NCT02663973	Prospective Evaluation of Breast Cancer at Brazilian Institutions - Project AMAZONA III		Completed	No Results Available	Breast Cancer		Description of the epidemiology of breast cancer in the Brazilian population|Description of the socioeconomical characteristics of the Brazilian population with breast cancer|Characterization of the immunophenotypic markers of the tumor|Classification of breast cancer staging|Description of screening tests of breast cancer patients in Brazil|Main symptoms presented by patients with breast cancer in Brazil|Initial treatment for breast cancer of Brazilian patients|Type of palliative treatment for metastasis or recurrent breast cancer in Brazilian patients|Clinical outcome of Brazilian breast cancer patients|Types of clinical complications displayed by breast cancer Brazilian patients|Characterization of exterior factors that may impact clinical outcome of breast cancer Brazilian patients	Latin American Cooperative Oncology Group|Ministry of Health, Brazil|Avon Institute	Female	18 Years and older   (Adult, Older Adult)		3000	Other	Observational	Observational Model: Case-Only|Time Perspective: Prospective	GBECAM 0115	January 1, 2016	June 15, 2020	April 1, 2021	January 26, 2016		June 15, 2021	Clínica AMO, Salvador, Bahia, Brazil|Núcleo de Oncologia da Bahia, Salvador, Bahia, Brazil|Centro Regional Integrado de Oncologia (CRIO), Fortaleza, Ceará, Brazil|Centro de Pesquisa do Setor de Ginecologia e Mama do Hospital Araújo Jorge, Goiânia, Goiás, Brazil|Unidade de Pesquisa Clínica/Hospital de Clínicas da UFG, Goiânia, Goiás, Brazil|Unidade de Pesquisa Clínica do Hospital do Câncer de Londrina, Londrina, Paraná, Brazil|Hospital Jardim Amália, Volta Redonda, Rio De Janeiro, Brazil|Centro de Pesquisa Clínica da Liga Norte Riograndense Contra o Câncer, Natal, Rio Grande Do Norte, Brazil|Centro de Pesquisas da Serra Gaúcha, Caxias do Sul, Rio Grande Do Sul, Brazil|Instituto de Pesquisa Clínicas para Estudos Multicêntricos da UCS, Caxias do Sul, Rio Grande Do Sul, Brazil|Hospital da Cidade de Passo Fundo - Clínica CITO, Passo Fundo, Rio Grande Do Sul, Brazil|Hospital São Vicente de Paulo, Passo Fundo, Rio Grande Do Sul, Brazil|Grupo de Estudos em Pesquisa de Pelotas, Pelotas, Rio Grande Do Sul, Brazil|CPO - Pucrs, Porto Alegre, Rio Grande Do Sul, Brazil|Hospital Moinhos de Vento, Porto Alegre, Rio Grande Do Sul, Brazil|Novos Tratamentos em Câncer - Hospital Santa Casa de Porto Alegre, Porto Alegre, Rio Grande Do Sul, Brazil|CEPON, Florianópolis, Santa Catarina, Brazil|Clínica de Neoplasias Litoral - Centro de Novos Tratamentos Itajaí, Itajaí, Santa Catarina, Brazil|Instituto Oncológico de Ribeirão Preto - InORP, Ribeirão Preto, São Paulo, Brazil|Instituto Nacional do Câncer, Rio de Janeiro, Brazil|Oncoclínica, Rio de Janeiro, Brazil|Centro de Pesquisa Clínica do Hospital Israelita Albert Einstein, São Paulo, Brazil|Centro de Pesquisa Instituto do Câncer Arnaldo Vieira de Carvalho, São Paulo, Brazil|Hospital AC Camargo, São Paulo, Brazil		https://ClinicalTrials.gov/show/NCT02663973
