from	to
363346000	55342001
431309003	64572001
234440005	86075001
128241005	373407002
16922007	32895009
61503006	58574008
60380001	58690002
1172709000	414628006
428255004	64572001
271468000	363346000
87628006	40733004
247440002	362965005
200936003	105969002
255320000	64572001
108365000	64572001
42231000009109	312124009
422747000	443820000
118286007	118285006
129128006	64572001
363168001	64572001
373434004	64572001
703938007	95320005
175176000	2704003
703938007	363168001
61503006	64572001
188366002	363346000
57697001	49755003
63171007	64572001
28637003	64572001
1187225007	1240414004
197321007	235856003
312123003	64572001
70759006	367338000
42643001	7793005
49755003	118956008
373406006	42030000
838353009	45816000
42231000009109	52845002
127582006	414629003
19660004	64572001
49601007	362965005
128482007	2704003
42643001	118948005
431309003	175176000
68566005	64572001
697896007	70995007
128050000	126637008
118948005	822988000
721266009	64572001
128936008	87628006
267874003	362992004
431309003	63171007
43116000	64572001
68566005	128606002
363170005	64572001
373434004	118946009
235856003	118948005
126643005	64572001
16922007	86075001
128070006	64572001
363171009	363170005
373406006	64572001
838353009	431308006
419052002	271468000
822988000	128121009
128430005	82852009
721267000	64572001
80659006	19660004
28637003	428255004
44186003	39898005
126637008	128121009
230461009	64572001
419035001	415701004
128241005	64572001
28637003	61503006
431308006	64572001
822988000	64572001
95880003	64572001
838353009	363169009
42231000009109	45816000
128187005	64572001
128121009	64572001
126637008	64572001
609620004	64572001
108365000	95320005
58574008	175176000
64779008	64572001
363517008	419052002
312124009	64572001
85828009	64572001
838353009	312124009
41368006	128606002
414388001	108369006
128606002	42030000
68566005	189176002
1162768007	414644002
53619000	362965005
362992004	85828009
838353009	128482007
87628006	64572001
105969002	64572001
45816000	422747000
126879004	64572001
254913005	41368006
128241005	363169009
30415006	407458009
363171009	362965005
362970003	64572001
443820000	64572001
126879004	128606002
108365000	19824006
55342001	399981008
118934005	64572001
75934005	64572001
443820000	128606002
609619005	822988000
448233000	64572001
55822004	238037008
30217000	57697001
95320005	80659006
7793005	64572001
362992004	64572001
128936008	64572001
66993009	36689008
128606002	64572001
428255004	95568003
126644004	609620004
129128006	422747000
175176000	42030000
767094002	64572001
200936003	85828009
359557001	64572001
431308006	431309003
448882009	188366002
448882009	126643005
27550009	19660004
128050000	64572001
126644004	126637008
721267000	363168001
126885006	126643005
1231824009	197321007
363168001	363171009
126637008	55342001
721267000	255320000
415701004	414628006
200936003	64572001
267874003	64572001
95320005	64572001
34014006	64572001
175176000	64572001
95568003	767094002
271468000	126637008
36689008	45816000
300457003	64572001
69741000	64572001
402939001	128936008
52845002	767094002
362965005	64572001
128482007	128139000
362975008	64572001
609620004	609619005
77692006	44186003
129128006	128070006
1163043007	414644002
128936008	108365000
721267000	19824006
414628006	414388001
838353009	64572001
363517008	254913005
407458009	34014006
128482007	64572001
373434004	27550009
240532009	64572001
1231824009	64572001
363169009	64572001
128139000	64572001
36689008	431308006
189176002	40733004
431309003	68566005
431308006	422747000
126885006	254913005
19824006	80659006
422747000	64572001
782964007	64572001
416939005	4147007
52845002	373406006
56019007	64572001
36689008	363169009
838353009	129128006
312123003	189176002
414629003	415181008
95568003	64572001
126885006	300457003
32895009	782964007
108369006	400177003
1163043007	414628006
85828009	414029004
415181008	30217000
39785005	64572001
42643001	64572001
1172592001	1163043007
126885006	126644004
428255004	52845002
703938007	64572001
734045002	64572001
126643005	128050000
66993009	28637003
76712006	64572001
118948005	64572001
280133005	64572001
721266009	240532009
416939005	30217000
90708001	443820000
197321007	64572001
95880003	19660004
414628006	414629003
42231000009109	64572001
271468000	42030000
60380001	36124002
36689008	128482007
235856003	64572001
19824006	64572001
128598002	362965005
235856003	76712006
61503006	52845002
314922006	413616009
27550009	49601007
373407002	64572001
367338000	108365000
414467006	127582006
52845002	363169009
90708001	734045002
128187005	27550009
90935002	86075001
300457003	42643001
402939001	721267000
69741000	703938007
363171009	64572001
703938007	363169009
363484005	64572001
129128006	90708001
52988006	49755003
58690002	39898005
42231000009109	129128006
189176002	42030000
86075001	64779008
271468000	64572001
363168001	80659006
414029004	64572001
1240414004	108369006
42030000	64572001
30415006	64572001
43116000	703938007
7793005	41368006
721267000	87628006
442191002	64572001
66993009	64572001
1187225007	118285006
230461009	118934005
48286001	75934005
363484005	126644004
188366002	64572001
81573002	105969002
238037008	48286001
58574008	90708001
247440002	64572001
312124009	68566005
126879004	126637008
128241005	235856003
64779008	362970003
189176002	64572001
90708001	64572001
70995007	39785005
413616009	414628006
66993009	95880003
36689008	58574008
838353009	58574008
63171007	2704003
128070006	118948005
1172709000	1162768007
359557001	27550009
81573002	64572001
609619005	64572001
1255006006	1187225007
414644002	1240414004
240532009	30415006
312124009	312123003
36689008	64572001
448233000	419052002
363517008	64572001
363169009	363170005
400177003	416939005
721266009	362965005
407458009	64572001
399981008	64572001
49601007	64572001
188366002	128050000
1187537008	64572001
448882009	64572001
414644002	414388001
197321007	1187537008
118285006	108369006
363170005	128139000
367338000	64572001
70759006	64572001
4147007	52988006
373406006	363171009
58574008	64572001
255320000	40733004
126885006	64572001
128187005	230461009
1187537008	362975008
428255004	280133005
80659006	64572001
734045002	118948005
127580003	414467006
36689008	129128006
1255006006	118286007
63171007	40733004
24072005	1162768007
363346000	64572001
280133005	128121009
52845002	64572001
34014006	40733004
61503006	128482007
55342001	64572001
312123003	87628006
80659006	128598002
609622007	128121009
76712006	53619000
127580003	413616009
41368006	64572001
442191002	197321007
42030000	822988000
254913005	64572001
767094002	90708001
39898005	64572001
373407002	363171009
126644004	64572001
39785005	373434004
609622007	64572001
419052002	64572001
373407002	53619000
53619000	64572001
36124002	77692006
280133005	19660004
128070006	40733004
118946009	609622007
128598002	64572001
118946009	64572001
128050000	118948005
82852009	32895009
19824006	95880003
402939001	64572001
42643001	609620004
362992004	105969002
45816000	373406006
2704003	64572001
254913005	126879004
442191002	128241005
70995007	64572001
422747000	68566005
95880003	40733004
419052002	126879004
428255004	105969002
45816000	64572001
40733004	64572001
314922006	1172592001
402939001	70759006
70759006	255320000
27550009	64572001
255320000	128139000
42030000	362965005
