from	to
127856007	714488006
281904003	19787009
826984001	80266002
51114001	11527006
707861009	707862002
281467004	281233007
67734004	70104002
416152001	416319003
38866009	52530000
774007	70104002
118973005	699880003
281904003	826984001
50403003	363529004
127856007	87784001
1172989009	12921003
782966009	281158006
113343008	91723000
818993005	818986006
118973005	91690000
21514008	63337009
816094009	420473002
281827007	113257007
128263001	38866009
59820001	113343008
50235001	85293002
85756007	91723000
127856007	52530000
431938005	699881004
39937001	400199006
54018001	74861003
64033007	304582006
699590003	699589007
417437006	416152001
119181002	39937001
81040000	846651007
699880003	21514008
70104002	128262006
119219003	64033007
431938005	122489005
20795001	119181002
363536003	310787001
91772007	91717005
310787001	91689009
39937001	127856007
281901006	818986006
118972000	118973005
119181002	91717005
89837001	281904003
699602007	818993005
818983003	818982008
699602007	818988007
51840005	113257007
782966009	118633002
416550000	416152001
303270005	281501002
480000	113257007
22943007	38866009
49596003	86762007
91723000	442083009
39937001	707861009
281158006	304062003
303270005	49596003
51114001	59820001
281901006	122489005
281501002	818986006
699589007	91723000
707862002	91689009
699880003	714488006
1172989009	818986006
1231522001	69548008
306954006	59820001
51185008	416550000
699593001	51185008
818986006	91829005
818988007	818984009
818981001	818982008
50235001	119219003
281158006	480000
416319003	52530000
699593001	91829005
304066000	3711007
10200004	699602007
818993005	362937008
1490004	22943007
818986006	818983003
59820001	113257007
85293002	21793004
12921003	816092008
363529004	119219003
818997006	1490004
51185008	417437006
362937008	113343008
11527006	113257007
396328009	48075008
818984009	818983003
51185008	67734004
304062003	846601002
10200004	303270005
91772007	85756007
846601002	816094009
3711007	314237003
442083009	123037004
74861003	50403003
64033007	714321003
314237003	59820001
416775004	52530000
816092008	1231522001
304582006	122489005
21793004	85756007
424873002	310887008
67734004	816094009
400199006	91689009
91829005	22943007
818988007	818986006
21514008	91689009
714321003	118972000
304062003	281467004
609617007	63337009
846601002	306955007
818997006	818983003
69548008	128263001
118633002	39499005
310887008	20795001
818983003	63337009
818972007	826984001
699602007	818981001
91829005	699590003
39937001	113343008
81040000	304066000
416550000	416775004
818972007	818993005
81040000	782966009
123850002	69536005
281467004	699593001
91690000	714488006
127856007	396328009
281233007	281827007
281231009	281232002
303409005	19787009
45308003	699880003
89837001	303409005
714321003	714320002
308734009	306955007
128262006	38866009
86762007	91689009
64033007	281901006
52530000	91723000
29704000	91772007
58471003	54018001
818985005	818982008
64033007	699602007
714488006	91689009
281232002	306954006
89837001	714321003
91717005	113343008
818985005	63337009
281501002	86762007
816092008	818982008
1490004	87784001
63337009	69548008
63337009	420473002
306955007	306954006
50403003	29704000
281231009	123850002
281232002	51840005
59820001	87784001
304066000	304062003
308734009	51114001
826984001	1172989009
118633002	51185008
816092008	63337009
113257007	91689009
306955007	281233007
714320002	113343008
82849001	818986006
304582006	45308003
80266002	12921003
50235001	818997006
699881004	699880003
89837001	818972007
818984009	818985005
39499005	308734009
122489005	21514008
119219003	91717005
29704000	119219003
59183004	699880003
281232002	774007
281158006	363536003
49596003	113343008
303270005	818981001
19787009	59183004
91689009	91723000
306954006	281827007
48075008	91689009
63337009	416775004
818982008	420473002
69536005	774007
846651007	846601002
118972000	122489005
118956008	123037004
12921003	609617007
846651007	308734009
420473002	22943007
306954006	52530000
281901006	699880003
19787009	431938005
64033007	82849001
87784001	85756007
281233007	22943007
