from	to
NCT05894499	840533007
NCT05869903	238131007
NCT05835856	405152002
NCT05925803	89155008
NCT05869903	414916001
NCT05911841	24079001
NCT05913700	2704003
NCT05894590	840533007
NCT05843643	55464009
NCT05883007	1162767002
NCT05863234	128833001
NCT05896215	57019003
NCT05819398	59393003
NCT05905055	22352007
NCT05861427	37796009
NCT05894525	840533007
NCT05878938	28293008
NCT05816382	735676003
NCT05882279	1162576007
NCT05923281	13644009
NCT05809934	442685003
NCT05827016	1162576007
NCT05923112	128822004
NCT05818137	11399002
NCT05879653	399326009
NCT05925803	422801000
