SNOMEDCT	fsn	name
21514008	Structure of genitourinary system (body structure)	Structure of genitourinary system
58471003	Renal tubule structure (body structure)	Renal tubule structure
21793004	Connective tissue structure (body structure)	Connective tissue structure
818997006	Structure of soft tissue of abdomen (body structure)	Soft tissue of abdomen
123037004	Body structure (body structure)	Body structure
303409005	Bladder and outflow structure (body structure)	Bladder and outflow structure
12921003	Structure of pelvis (body structure)	Pelvic region
70104002	Upper body part structure (body structure)	Upper body part structure
304066000	Structure of thoracic great vessel (body structure)	Structure of thoracic great vessel
707861009	Structure of skin and/or skin-associated mucous membrane (body structure)	Structure of skin and/or skin-associated mucous membrane
69548008	Lower body part structure (body structure)	Lower body part structure
39937001	Skin structure (body structure)	Skin structure
846651007	Structure of artery of thoracic cross-sectional segment of trunk (body structure)	Structure of artery of thoracic cross-sectional segment of trunk
416775004	Chest and/or abdomen and/or pelvis structure (body structure)	Chest, abdomen, and pelvis
86762007	Structure of digestive system (body structure)	Structure of digestive system
128263001	Lower body structure (body structure)	Lower body structure
416152001	Neck and/or chest and/or abdomen structure (body structure)	Neck, chest and abdomen
281901006	Intra-abdominal urinary structure (body structure)	Intra-abdominal urinary structure
818984009	Structure of abdominopelvic cavity and/or intra-abdominopelvic content and/or anterior abdominal wall excluding intra-pelvic structure of true pelvis (body structure)	Abdomen proper
91829005	Structure of body cavity and/or content (body structure)	Structure of body cavity and/or content
281231009	Vascular structure of head (body structure)	Vascular structure of head
281827007	Regional cardiovascular structure (body structure)	Regional cardiovascular structure
699590003	Structure of anatomical compartment (body structure)	Structure of anatomical compartment
122489005	Urinary system structure (body structure)	Urinary system structure
416550000	Chest and/or abdomen structure (body structure)	Chest and abdomen
89837001	Urinary bladder structure (body structure)	Urinary bladder structure
818972007	Structure of organ within cavity of true pelvis (body structure)	Structure of organ within cavity of true pelvis
707862002	Structure of skin and/or mucous membrane (body structure)	Structure of skin and/or mucous membrane
119181002	Skin part (body structure)	Skin part
416319003	Structure of neck and/or chest and/or abdomen and/or pelvis (body structure)	Neck, chest, abdomen, and pelvis
119219003	Kidney part (body structure)	Kidney part
699881004	Structure of genitourinary tract (body structure)	Structure of genitourinary tract
38866009	Body part structure (body structure)	Body part structure
281467004	Intrathoracic cardiovascular structure (body structure)	Intrathoracic cardiovascular structure
87784001	Structure of soft tissue (body structure)	Soft tissue
431938005	Structure of urinary tract proper (body structure)	Structure of urinary tract proper
51114001	Arterial structure (body structure)	Arterial structure
314237003	Structure of type of vessel (body structure)	Structure of type of vessel
63337009	Structure of abdominopelvic segment of trunk (body structure)	Abdominopelvic segment of trunk
127856007	Skin and/or subcutaneous tissue structure (body structure)	Skin and/or subcutaneous tissue structure
818993005	Structure of organ within abdominopelvic cavity (body structure)	Organ within abdominopelvic cavity
